model,feature_set,fs,target,file,feature_count,feature_names,classes,class_boundaries,pipeline_contains_preprocessing,best_params,cv_mode,cv_folds,cv_repeats,cv_score_count,cv_macro_f1,cv_macro_f1_std,saved_cv_train_macro_f1,saved_cv_train_macro_f1_std,train_accuracy,train_balanced_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,train_weighted_f1,train_mcc,train_cohen_kappa,train_log_loss,train_roc_auc_ovr_macro,train_roc_auc_ovr_weighted,n_train,val_accuracy,val_balanced_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_f1,val_mcc,val_cohen_kappa,val_log_loss,val_roc_auc_ovr_macro,val_roc_auc_ovr_weighted,n_val,test_accuracy,test_balanced_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,test_weighted_f1,test_mcc,test_cohen_kappa,test_log_loss,test_roc_auc_ovr_macro,test_roc_auc_ovr_weighted,n_test,val_balanced_error,test_balanced_error,train_cv_gap,train_val_gap,cv_val_gap,val_test_gap,abs_train_cv_gap,abs_cv_val_gap,abs_val_test_gap,possible_overfitting,possible_underfitting,high_cv_instability,split_sensitive,stable_generalization,generalization_diagnosis,rank_cv_macro_f1,rank_val_macro_f1,rank_cv_stability,rank_train_cv_gap,rank_val_balanced_error,selection_rank_score,Selection Rank,rank_test_macro_f1,rank_test_balanced_accuracy,rank_test_mcc,test_rank_score,Test Performance Rank,rank_generalization_gap,rank_generalization_cv_sd,rank_generalization_split_gap,generalization_rank_score,Generalization Rank,cv_mcc,cv_test_gap,abs_cv_test_gap,test_shift,mcc_used_for_selection,rank_cv_mcc,statistical_rank,selection_rank,statistical_score,rank_stability,test_performance_rank,generalization_rank,equal_score,equal_rank,performance_focused_score,performance_focused_rank,stability_focused_score,stability_focused_rank,sensitivity_mean_rank,sensitivity_median_rank,sensitivity_min_rank,sensitivity_max_rank,sensitivity_rank_range,sensitivity_rank_sd,first_place_count,first_place_rate,weight_sensitivity_diagnosis,mc_mean_rank,mc_median_rank,mc_min_rank,mc_max_rank,mc_rank_range,mc_rank_sd,mc_first_place_count,mc_first_place_rate,mc_top3_count,mc_top3_rate,mc_weight_sensitivity_diagnosis,robustness_rank_score,robustness_rank,recommended_rank_score,recommended_rank
DT,fs3,fs3,AC,DT_fs3_AC_class.pkl,6,Distance|Depth|Ucs_class|LL|PL|FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__class_weight"": null, ""classifier__criterion"": ""log_loss"", ""classifier__max_depth"": 5, ""classifier__min_samples_leaf"": 2, ""classifier__min_samples_split"": 10}",group,5,1,5,0.709590,0.103837,,,0.809339,0.802314,0.890214,0.802314,0.806945,0.790956,0.728034,0.687332,0.352029,0.925478,0.913183,257,,,,,,,,,,,,0,0.880000,0.906288,0.879392,0.906288,0.891659,0.879301,0.794212,0.793956,1.672061,0.947744,0.934271,75,,0.093712,0.097355,,,,0.097355,,,False,False,False,False,False,CV-test shift,2.000000,18.500000,3.000000,3.000000,18.500000,2.400000,1,3.000000,3.000000,4.000000,3.200000,3,3.000000,3.000000,18.500000,3.000000,1,,-0.182069,0.182069,True,False,,1,1,1.000000,0.849779,3,1,2.666667,1,2.300000,2,2.600000,1,1.333333,1.000000,1.000000,2.000000,1.000000,0.577350,2,0.666667,Moderately robust,1.472000,1.000000,1,2,1,0.499465,528,0.528000,1000,1.000000,Weight-sensitive,1.350000,1,1.000000,1
DT,fs2,fs2,AC,DT_fs2_AC_class.pkl,5,Distance|Depth|Ucs_class|PI|FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__class_weight"": null, ""classifier__criterion"": ""entropy"", ""classifier__max_depth"": 8, ""classifier__min_samples_leaf"": 2, ""classifier__min_samples_split"": 10}",group,5,1,5,0.718775,0.060897,,,0.859922,0.861941,0.888171,0.861941,0.865585,0.854636,0.785979,0.775470,0.254402,0.970158,0.965451,257,,,,,,,,,,,,0,0.813333,0.863553,0.829997,0.863553,0.843254,0.814012,0.689216,0.684779,4.505496,0.897997,0.866464,75,,0.136447,0.146810,,,,0.146810,,,False,False,False,False,False,Moderate generalization,1.000000,18.500000,1.000000,9.000000,18.500000,2.600000,2,7.000000,6.000000,21.000000,9.500000,7,9.000000,1.000000,18.500000,5.800000,2,,-0.124479,0.124479,False,False,,2,2,0.992647,0.492970,7,2,3.666667,2,2.200000,1,3.400000,2,1.666667,2.000000,1.000000,2.000000,1.000000,0.577350,1,0.333333,Weight-sensitive,1.528000,2.000000,1,2,1,0.499465,472,0.472000,1000,1.000000,Weight-sensitive,2.050000,2,2.000000,2
GBC,fs2,fs2,AC,GBC_fs2_AC_class.pkl,5,Distance|Depth|Ucs_class|PI|FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__learning_rate"": 0.01, ""classifier__max_depth"": 3, ""classifier__n_estimators"": 100}",group,5,1,5,0.697846,0.097303,,,0.844358,0.842567,0.891547,0.842567,0.846438,0.834503,0.770065,0.748385,0.532126,0.960392,0.954007,257,,,,,,,,,,,,0,0.893333,0.911477,0.895503,0.911477,0.900304,0.891351,0.818293,0.814986,0.515326,0.955904,0.946387,75,,0.088523,0.148592,,,,0.148592,,,False,False,False,False,False,CV-test shift,3.000000,18.500000,2.000000,10.000000,18.500000,4.200000,3,1.000000,1.000000,2.000000,1.200000,1,10.000000,2.000000,18.500000,6.800000,3,,-0.202458,0.202458,True,False,,3,3,0.933824,0.584179,1,3,5.000000,3,3.900000,3,4.800000,3,3.000000,3.000000,3.000000,3.000000,0.000000,0.000000,0,0.000000,Weight-sensitive,3.000000,3.000000,3,3,0,0.000000,0,0.000000,1000,1.000000,Weight-sensitive,6.725000,3,3.000000,3
RF,fs1,fs1,AC,RF_fs1_AC_class.pkl,4,Distance|Depth|Ucs_class|PI/FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__class_weight"": ""balanced"", ""classifier__max_depth"": null, ""classifier__min_samples_leaf"": 1, ""classifier__min_samples_split"": 5, ""classifier__n_estimators"": 100}",group,5,1,5,0.659960,0.167281,,,0.980545,0.982493,0.980305,0.982493,0.981360,0.980504,0.969389,0.969365,0.190304,0.997392,0.997061,257,,,,,,,,,,,,0,0.853333,0.796551,0.894444,0.796551,0.830686,0.851485,0.742829,0.740973,0.347403,0.968348,0.958964,75,,0.203449,0.321400,,,,0.321400,,,True,False,True,False,False,Overfitting with high CV instability,5.000000,18.500000,19.000000,29.000000,18.500000,12.600000,4,9.000000,14.000000,12.000000,11.100000,12,29.000000,19.000000,18.500000,25.000000,32,,-0.170726,0.170726,True,False,,4,4,0.625000,0.642193,12,32,17.666667,12,10.700000,4,16.400000,10,8.666667,10.000000,4.000000,12.000000,8.000000,4.163332,0,0.000000,Unstable selection,6.475000,4.000000,4,14,10,3.103386,0,0.000000,0,0.000000,Unstable selection,13.075000,5,4.400000,4
SVC,fs2,fs2,AC,SVC_fs2_AC_class.pkl,5,Distance|Depth|Ucs_class|PI|FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__C"": 100, ""classifier__class_weight"": null, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""linear""}",group,5,1,5,0.650002,0.233274,,,0.782101,0.784262,0.804196,0.784262,0.785859,0.775522,0.659549,0.650730,0.534104,0.913764,0.902501,257,,,,,,,,,,,,0,0.880000,0.810287,0.839438,0.810287,0.823045,0.878025,0.791128,0.789260,0.358518,0.972309,0.969101,75,,0.189713,0.135857,,,,0.135857,,,False,False,True,False,False,High CV instability,7.000000,18.500000,35.000000,8.000000,18.500000,12.800000,5,14.000000,9.000000,6.000000,10.900000,9,8.000000,35.000000,18.500000,18.800000,16,,-0.173043,0.173043,True,False,,5,5,0.617647,0.562365,9,16,16.666667,9,11.350000,5,15.700000,8,7.333333,8.000000,5.000000,9.000000,4.000000,2.081666,0,0.000000,Unstable selection,7.097000,5.000000,4,27,23,3.653072,0,0.000000,0,0.000000,Unstable selection,13.925000,7,6.000000,6
RF,fs3,fs3,AC,RF_fs3_AC_class.pkl,6,Distance|Depth|Ucs_class|LL|PL|FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__class_weight"": null, ""classifier__max_depth"": 5, ""classifier__min_samples_leaf"": 4, ""classifier__min_samples_split"": 2, ""classifier__n_estimators"": 100}",group,5,1,5,0.648231,0.210772,,,0.832685,0.834163,0.864475,0.834163,0.833330,0.822783,0.747208,0.731060,0.429521,0.967264,0.962282,257,,,,,,,,,,,,0,0.866667,0.897741,0.846782,0.897741,0.868351,0.866745,0.775013,0.773960,0.477182,0.951974,0.941436,75,,0.102259,0.185099,,,,0.185099,,,True,False,True,False,False,Overfitting with high CV instability,8.000000,18.500000,30.000000,11.000000,18.500000,13.000000,6,5.000000,4.500000,8.000000,5.450000,6,11.000000,30.000000,18.500000,18.600000,15,,-0.220120,0.220120,True,False,,6,6,0.610294,0.626412,6,15,16.333333,8,11.750000,7,15.500000,6,7.000000,7.000000,6.000000,8.000000,2.000000,1.000000,0,0.000000,Weight-sensitive,6.963000,6.000000,5,14,9,1.637777,0,0.000000,0,0.000000,Unstable selection,12.875000,4,5.200000,5
LOGREG,fs1,fs1,AC,LOGREG_fs1_AC_class.pkl,4,Distance|Depth|Ucs_class|PI/FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__C"": 100, ""classifier__class_weight"": null, ""classifier__max_iter"": 3000, ""classifier__penalty"": ""l2"", ""classifier__solver"": ""lbfgs""}",group,5,1,5,0.640633,0.209699,,,0.735409,0.726917,0.755993,0.726917,0.729942,0.728682,0.585317,0.574441,0.590832,0.887751,0.874248,257,,,,,,,,,,,,0,0.840000,0.784646,0.764957,0.784646,0.772080,0.844444,0.727869,0.726942,0.424942,0.937185,0.936902,75,,0.215354,0.089309,,,,0.089309,,,False,False,True,False,False,High CV instability,12.000000,18.500000,29.000000,1.000000,18.500000,13.200000,7,24.000000,18.500000,16.000000,20.750000,20,1.000000,29.000000,18.500000,12.200000,7,,-0.131447,0.131447,False,False,,7,7,0.602941,0.548630,20,7,14.000000,5,12.900000,9,13.800000,5,6.333333,5.000000,5.000000,9.000000,4.000000,2.309401,0,0.000000,Unstable selection,8.496000,8.000000,4,20,16,3.866903,0,0.000000,0,0.000000,Unstable selection,15.600000,10,8.200000,9
RF,fs2,fs2,AC,RF_fs2_AC_class.pkl,5,Distance|Depth|Ucs_class|PI|FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__class_weight"": null, ""classifier__max_depth"": 20, ""classifier__min_samples_leaf"": 1, ""classifier__min_samples_split"": 5, ""classifier__n_estimators"": 500}",group,5,1,5,0.682123,0.213847,,,0.976654,0.980859,0.978798,0.980859,0.979761,0.976692,0.963366,0.963273,0.201706,0.997807,0.997460,257,,,,,,,,,,,,0,0.880000,0.909646,0.878465,0.909646,0.892673,0.880041,0.796110,0.795331,0.360678,0.970889,0.963948,75,,0.090354,0.297638,,,,0.297638,,,True,False,True,False,False,Overfitting with high CV instability,4.000000,18.500000,31.000000,26.000000,18.500000,13.800000,8,2.000000,2.000000,3.000000,2.200000,2,26.000000,31.000000,18.500000,28.000000,33,,-0.210550,0.210550,True,False,,8,8,0.580882,0.634193,2,33,20.333333,21,11.350000,6,18.700000,17,14.666667,17.000000,6.000000,21.000000,15.000000,7.767453,0,0.000000,Unstable selection,7.729000,7.000000,4,13,9,2.365408,0,0.000000,0,0.000000,Unstable selection,13.925000,7,8.100000,8
GBC,fs1,fs1,AC,GBC_fs1_AC_class.pkl,4,Distance|Depth|Ucs_class|PI/FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__learning_rate"": 0.01, ""classifier__max_depth"": 3, ""classifier__n_estimators"": 100}",group,5,1,5,0.648075,0.196312,,,0.852140,0.852967,0.885654,0.852967,0.861208,0.847875,0.772222,0.762275,0.531144,0.954777,0.946630,257,,,,,,,,,,,,0,0.893333,0.815476,0.943262,0.815476,0.859389,0.890411,0.821581,0.806950,0.501769,0.952753,0.945719,75,,0.184524,0.213133,,,,0.213133,,,True,False,True,False,False,Overfitting with high CV instability,9.000000,18.500000,26.000000,16.000000,18.500000,13.800000,8,6.000000,7.000000,1.000000,5.300000,5,16.000000,26.000000,18.500000,20.000000,22,,-0.211314,0.211314,True,False,,8,8,0.580882,0.709038,5,22,17.000000,10,12.600000,8,16.200000,9,9.000000,9.000000,8.000000,10.000000,2.000000,1.000000,0,0.000000,Weight-sensitive,8.206000,8.000000,7,11,4,0.876546,0,0.000000,0,0.000000,Weight-sensitive,13.200000,6,7.500000,7
ET,fs1,fs1,AC,ET_fs1_AC_class.pkl,4,Distance|Depth|Ucs_class|PI/FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__class_weight"": ""balanced"", ""classifier__max_depth"": 10, ""classifier__min_samples_leaf"": 2, ""classifier__n_estimators"": 100}",group,5,1,5,0.647087,0.165295,,,0.937743,0.944678,0.935371,0.944678,0.939508,0.937384,0.902544,0.902260,0.356403,0.988565,0.987080,257,,,,,,,,,,,,0,0.853333,0.793193,0.896825,0.793193,0.830190,0.851434,0.741669,0.739172,0.451610,0.950480,0.938912,75,,0.206807,0.292421,,,,0.292421,,,True,False,True,False,False,Overfitting with high CV instability,10.000000,18.500000,18.000000,25.000000,18.500000,14.600000,10,11.000000,16.000000,14.000000,13.100000,13,25.000000,18.000000,18.500000,22.200000,24,,-0.183103,0.183103,True,False,,10,10,0.551471,0.742455,13,24,17.666667,12,13.450000,10,16.900000,12,11.333333,12.000000,10.000000,12.000000,2.000000,1.154701,0,0.000000,Weight-sensitive,9.993000,10.000000,5,17,12,3.535456,0,0.000000,0,0.000000,Unstable selection,15.975000,11,10.400000,10
