model,feature_set,fs,target,file,feature_count,feature_names,classes,class_boundaries,pipeline_contains_preprocessing,best_params,cv_mode,cv_folds,cv_repeats,cv_score_count,cv_macro_f1,cv_macro_f1_std,saved_cv_train_macro_f1,saved_cv_train_macro_f1_std,train_accuracy,train_balanced_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,train_weighted_f1,train_mcc,train_cohen_kappa,train_log_loss,train_roc_auc_ovr_macro,train_roc_auc_ovr_weighted,n_train,val_accuracy,val_balanced_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_f1,val_mcc,val_cohen_kappa,val_log_loss,val_roc_auc_ovr_macro,val_roc_auc_ovr_weighted,n_val,test_accuracy,test_balanced_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,test_weighted_f1,test_mcc,test_cohen_kappa,test_log_loss,test_roc_auc_ovr_macro,test_roc_auc_ovr_weighted,n_test,val_balanced_error,test_balanced_error,train_cv_gap,train_val_gap,cv_val_gap,val_test_gap,abs_train_cv_gap,abs_cv_val_gap,abs_val_test_gap,possible_overfitting,possible_underfitting,high_cv_instability,split_sensitive,stable_generalization,generalization_diagnosis,rank_cv_macro_f1,rank_val_macro_f1,rank_cv_stability,rank_train_cv_gap,rank_val_balanced_error,selection_rank_score,Selection Rank,rank_test_macro_f1,rank_test_balanced_accuracy,rank_test_mcc,test_rank_score,Test Performance Rank,rank_generalization_gap,rank_generalization_cv_sd,rank_generalization_split_gap,generalization_rank_score,Generalization Rank
DT,fs3,fs3,AC,DT_fs3_AC_class.pkl,6,Distance|Depth|Ucs_class|LL|PL|FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__class_weight"": null, ""classifier__criterion"": ""log_loss"", ""classifier__max_depth"": 5, ""classifier__min_samples_leaf"": 2, ""classifier__min_samples_split"": 10}",group,5,1,5,0.709590,0.103837,,,0.809339,0.802314,0.890214,0.802314,0.806945,0.790956,0.728034,0.687332,0.352029,0.925478,0.913183,257,,,,,,,,,,,,0,0.880000,0.906288,0.879392,0.906288,0.891659,0.879301,0.794212,0.793956,1.672061,0.947744,0.934271,75,,0.093712,0.097355,,,,0.097355,,,False,False,False,False,False,Moderate generalization,2.000000,18.500000,3.000000,3.000000,18.500000,2.400000,1,3.000000,3.000000,4.000000,3.200000,3,3.000000,3.000000,18.500000,3.000000,1
DT,fs2,fs2,AC,DT_fs2_AC_class.pkl,5,Distance|Depth|Ucs_class|PI|FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__class_weight"": null, ""classifier__criterion"": ""entropy"", ""classifier__max_depth"": 8, ""classifier__min_samples_leaf"": 2, ""classifier__min_samples_split"": 10}",group,5,1,5,0.718775,0.060897,,,0.859922,0.861941,0.888171,0.861941,0.865585,0.854636,0.785979,0.775470,0.254402,0.970158,0.965451,257,,,,,,,,,,,,0,0.813333,0.863553,0.829997,0.863553,0.843254,0.814012,0.689216,0.684779,4.505496,0.897997,0.866464,75,,0.136447,0.146811,,,,0.146811,,,False,False,False,False,False,Moderate generalization,1.000000,18.500000,1.000000,9.000000,18.500000,2.600000,2,7.000000,6.000000,21.000000,9.500000,7,9.000000,1.000000,18.500000,5.800000,2
GBC,fs2,fs2,AC,GBC_fs2_AC_class.pkl,5,Distance|Depth|Ucs_class|PI|FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__learning_rate"": 0.01, ""classifier__max_depth"": 3, ""classifier__n_estimators"": 100}",group,5,1,5,0.697846,0.097303,,,0.844358,0.842567,0.891547,0.842567,0.846438,0.834503,0.770065,0.748385,0.532126,0.960392,0.954007,257,,,,,,,,,,,,0,0.893333,0.911477,0.895503,0.911477,0.900304,0.891351,0.818293,0.814986,0.515326,0.955904,0.946387,75,,0.088523,0.148592,,,,0.148592,,,False,False,False,False,False,Moderate generalization,3.000000,18.500000,2.000000,10.000000,18.500000,4.200000,3,1.000000,1.000000,2.000000,1.200000,1,10.000000,2.000000,18.500000,6.800000,3
RF,fs1,fs1,AC,RF_fs1_AC_class.pkl,4,Distance|Depth|Ucs_class|PI/FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__class_weight"": ""balanced"", ""classifier__max_depth"": null, ""classifier__min_samples_leaf"": 1, ""classifier__min_samples_split"": 5, ""classifier__n_estimators"": 100}",group,5,1,5,0.659960,0.167281,,,0.980545,0.982493,0.980305,0.982493,0.981360,0.980504,0.969389,0.969365,0.190304,0.997392,0.997061,257,,,,,,,,,,,,0,0.853333,0.796551,0.894444,0.796551,0.830686,0.851485,0.742829,0.740973,0.347403,0.968348,0.958964,75,,0.203449,0.321399,,,,0.321399,,,True,False,True,False,False,Overfitting with high CV instability,5.000000,18.500000,19.000000,29.000000,18.500000,12.600000,4,9.000000,14.000000,12.000000,11.100000,12,29.000000,19.000000,18.500000,25.000000,32
SVC,fs2,fs2,AC,SVC_fs2_AC_class.pkl,5,Distance|Depth|Ucs_class|PI|FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__C"": 100, ""classifier__class_weight"": null, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""linear""}",group,5,1,5,0.650002,0.233274,,,0.782101,0.784262,0.804196,0.784262,0.785859,0.775522,0.659549,0.650730,0.534104,0.913764,0.902501,257,,,,,,,,,,,,0,0.880000,0.810287,0.839438,0.810287,0.823045,0.878025,0.791128,0.789260,0.358518,0.972309,0.969101,75,,0.189713,0.135856,,,,0.135856,,,False,False,True,False,False,High CV instability,7.000000,18.500000,35.000000,8.000000,18.500000,12.800000,5,14.000000,9.000000,6.000000,10.900000,9,8.000000,35.000000,18.500000,18.800000,16
RF,fs3,fs3,AC,RF_fs3_AC_class.pkl,6,Distance|Depth|Ucs_class|LL|PL|FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__class_weight"": null, ""classifier__max_depth"": 5, ""classifier__min_samples_leaf"": 4, ""classifier__min_samples_split"": 2, ""classifier__n_estimators"": 100}",group,5,1,5,0.648231,0.210772,,,0.832685,0.834163,0.864475,0.834163,0.833330,0.822783,0.747208,0.731060,0.429521,0.967264,0.962282,257,,,,,,,,,,,,0,0.866667,0.897741,0.846782,0.897741,0.868351,0.866745,0.775013,0.773960,0.477182,0.951974,0.941436,75,,0.102259,0.185099,,,,0.185099,,,True,False,True,False,False,Overfitting with high CV instability,8.000000,18.500000,30.000000,11.000000,18.500000,13.000000,6,5.000000,4.500000,8.000000,5.450000,6,11.000000,30.000000,18.500000,18.600000,15
LOGREG,fs1,fs1,AC,LOGREG_fs1_AC_class.pkl,4,Distance|Depth|Ucs_class|PI/FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__C"": 100, ""classifier__class_weight"": null, ""classifier__max_iter"": 3000, ""classifier__penalty"": ""l2"", ""classifier__solver"": ""lbfgs""}",group,5,1,5,0.640633,0.209699,,,0.735409,0.726917,0.755993,0.726917,0.729942,0.728682,0.585317,0.574441,0.590832,0.887751,0.874248,257,,,,,,,,,,,,0,0.840000,0.784646,0.764957,0.784646,0.772080,0.844444,0.727869,0.726942,0.424942,0.937185,0.936902,75,,0.215354,0.089309,,,,0.089309,,,False,False,True,False,False,High CV instability,12.000000,18.500000,29.000000,1.000000,18.500000,13.200000,7,24.000000,18.500000,16.000000,20.750000,20,1.000000,29.000000,18.500000,12.200000,7
RF,fs2,fs2,AC,RF_fs2_AC_class.pkl,5,Distance|Depth|Ucs_class|PI|FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__class_weight"": null, ""classifier__max_depth"": 20, ""classifier__min_samples_leaf"": 1, ""classifier__min_samples_split"": 5, ""classifier__n_estimators"": 500}",group,5,1,5,0.682123,0.213847,,,0.976654,0.980859,0.978798,0.980859,0.979761,0.976692,0.963366,0.963273,0.201706,0.997807,0.997460,257,,,,,,,,,,,,0,0.880000,0.909646,0.878465,0.909646,0.892673,0.880041,0.796110,0.795331,0.360678,0.970889,0.963948,75,,0.090354,0.297638,,,,0.297638,,,True,False,True,False,False,Overfitting with high CV instability,4.000000,18.500000,31.000000,26.000000,18.500000,13.800000,8,2.000000,2.000000,3.000000,2.200000,2,26.000000,31.000000,18.500000,28.000000,33
GBC,fs1,fs1,AC,GBC_fs1_AC_class.pkl,4,Distance|Depth|Ucs_class|PI/FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__learning_rate"": 0.01, ""classifier__max_depth"": 3, ""classifier__n_estimators"": 100}",group,5,1,5,0.648075,0.196312,,,0.852140,0.852967,0.885654,0.852967,0.861208,0.847875,0.772222,0.762275,0.531144,0.954777,0.946630,257,,,,,,,,,,,,0,0.893333,0.815476,0.943262,0.815476,0.859389,0.890411,0.821581,0.806950,0.501769,0.952753,0.945719,75,,0.184524,0.213134,,,,0.213134,,,True,False,True,False,False,Overfitting with high CV instability,9.000000,18.500000,26.000000,16.000000,18.500000,13.800000,8,6.000000,7.000000,1.000000,5.300000,5,16.000000,26.000000,18.500000,20.000000,22
ET,fs1,fs1,AC,ET_fs1_AC_class.pkl,4,Distance|Depth|Ucs_class|PI/FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__class_weight"": ""balanced"", ""classifier__max_depth"": 10, ""classifier__min_samples_leaf"": 2, ""classifier__n_estimators"": 100}",group,5,1,5,0.647087,0.165295,,,0.937743,0.944678,0.935371,0.944678,0.939508,0.937384,0.902544,0.902260,0.356403,0.988565,0.987080,257,,,,,,,,,,,,0,0.853333,0.793193,0.896825,0.793193,0.830190,0.851434,0.741669,0.739172,0.451610,0.950480,0.938912,75,,0.206807,0.292421,,,,0.292421,,,True,False,True,False,False,Overfitting with high CV instability,10.000000,18.500000,18.000000,25.000000,18.500000,14.600000,10,11.000000,16.000000,14.000000,13.100000,13,25.000000,18.000000,18.500000,22.200000,24
