FeatureSet,Target,Feature,U,Z,p,n_low,n_high
AC_fs1,AC,Distance,20571.0,7.768229235116537,7.448871329099696e-15,166,166
AC_fs1,AC,Depth,15119.0,1.5335191232579533,0.12513846623592367,166,166
AC_fs1,AC,Ucs_class,10209.0,-4.081379381735745,1.7040600980589954e-06,166,166
AC_fs1,AC,PI/FF,4228.0,-10.92103477040526,9.148728087351225e-28,166,166
AC_fs2,AC,Distance,20571.0,7.768229235116537,7.448871329099696e-15,166,166
AC_fs2,AC,Depth,15119.0,1.5335191232579533,0.12513846623592367,166,166
AC_fs2,AC,Ucs_class,10209.0,-4.081379381735745,1.7040600980589954e-06,166,166
AC_fs2,AC,PI,7311.5,-7.394855637992211,1.2787528836162545e-13,166,166
AC_fs2,AC,FF,21603.5,8.948958910555639,2.9378186903876834e-19,166,166
AC_fs3,AC,Distance,20571.0,7.768229235116537,7.448871329099696e-15,166,166
AC_fs3,AC,Depth,15119.0,1.5335191232579533,0.12513846623592367,166,166
AC_fs3,AC,Ucs_class,10209.0,-4.081379381735745,1.7040600980589954e-06,166,166
AC_fs3,AC,LL,8576.5,-5.948247367357378,2.6203481209973993e-09,166,166
AC_fs3,AC,PL,12044.0,-1.98293971642751,0.04653989317065004,166,166
AC_fs3,AC,FF,21603.5,8.948958910555639,2.9378186903876834e-19,166,166
AC_fs4,AC,Distance,20571.0,7.768229235116537,7.448871329099696e-15,166,166
AC_fs4,AC,Depth,15119.0,1.5335191232579533,0.12513846623592367,166,166
AC_fs4,AC,Ucs_class,10209.0,-4.081379381735745,1.7040600980589954e-06,166,166
AC_fs4,AC,PI,7311.5,-7.394855637992211,1.2787528836162545e-13,166,166
