FeatureSet,Target,Feature,VIF
AC_fs1,AC,Distance,1.245731037855055
AC_fs1,AC,Depth,1.0384426914945772
AC_fs1,AC,Ucs_class,1.470586290564902
AC_fs1,AC,PI/FF,1.7340418436115168
AC_fs2,AC,Distance,1.3147335980003265
AC_fs2,AC,Depth,1.0314338569816885
AC_fs2,AC,Ucs_class,1.915056067493326
AC_fs2,AC,PI,1.977820410725058
AC_fs2,AC,FF,1.2241799250005507
AC_fs3,AC,Distance,1.3548039291558764
AC_fs3,AC,Depth,1.0603485007951854
AC_fs3,AC,Ucs_class,2.2705189110434256
AC_fs3,AC,LL,3.487543005128953
AC_fs3,AC,PL,2.353852074848803
AC_fs3,AC,FF,1.259246692340436
AC_fs4,AC,Distance,1.0910729958018273
AC_fs4,AC,Depth,1.0183322667043178
AC_fs4,AC,Ucs_class,1.9114790577994174
AC_fs4,AC,PI,1.974380673991231
