statistical_rank,selection_rank,test_performance_rank,generalization_rank,model,feature_set,target,statistical_score,selection_rank_score,rank_stability,generalization_rank_score,test_rank_score,r2_train,cv_r2_mean,cv_r2_std,r2_test,mae_test,rmse_test,ioa_test,p20_test,train_cv_gap,cv_test_gap,abs_train_cv_gap,abs_cv_test_gap,possible_overfitting,possible_underfitting,high_cv_instability,stable_generalization,generalization_diagnosis,rank_cv_r2,rank_cv_stability,rank_train_cv_gap,rank_test_r2,rank_test_rmse,rank_test_mae,equal_score,equal_rank,performance_focused_score,performance_focused_rank,stability_focused_score,stability_focused_rank,sensitivity_mean_rank,sensitivity_median_rank,sensitivity_min_rank,sensitivity_max_rank,sensitivity_rank_range,sensitivity_rank_sd,first_place_count,first_place_rate,weight_sensitivity_diagnosis,mc_mean_rank,mc_median_rank,mc_min_rank,mc_max_rank,mc_rank_range,mc_rank_sd,mc_first_place_count,mc_first_place_rate,mc_top3_count,mc_top3_rate,mc_weight_sensitivity_diagnosis,robustness_rank_score,robustness_rank,recommended_rank_score,recommended_rank,file
1,1,16,3,DT,fs3,AC,1.000000,2.200000,0.831926,2.600000,16.800000,0.809115,0.609673,0.182768,0.500126,0.154972,0.200460,0.864946,54.666667,0.199442,0.109547,0.199442,0.109547,False,False,False,False,Moderate generalization,2.000000,2.000000,3.000000,16.000000,16.000000,20.000000,2.333333,1,2.150000,1,2.300000,1,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,3,1.000000,Highly robust,1.003000,1.000000,1,2,1,0.054717,997,0.997000,1000,1.000000,Highly robust,1.100000,1,1.000000,1,DT_fs3_AC.pkl
2,2,7,8,DT,fs2,AC,0.897778,6.800000,0.507807,13.600000,6.800000,0.875547,0.614307,0.324940,0.669072,0.123193,0.163104,0.910957,66.666667,0.261240,-0.054765,0.261240,0.054765,True,False,True,False,Overfitting with high CV instability,1.000000,25.000000,6.000000,7.000000,7.000000,6.000000,10.666667,4,5.350000,2,9.700000,3,3.000000,3.000000,2.000000,4.000000,2.000000,1.000000,0,0.000000,Weight-sensitive,3.559000,2.000000,1,12,11,2.408385,3,0.003000,637,0.637000,Unstable selection,4.500000,2,2.000000,2,DT_fs2_AC.pkl
3,3,6,5,GBR,fs3,AC,0.893333,7.000000,0.712656,9.200000,6.600000,0.868551,0.567685,0.187318,0.710467,0.128278,0.152562,0.901230,58.666667,0.300867,-0.142783,0.300867,0.142783,True,False,False,False,Possible overfitting,6.000000,5.000000,12.000000,6.000000,6.000000,9.000000,7.666667,2,6.750000,3,7.500000,2,2.333333,2.000000,2.000000,3.000000,1.000000,0.577350,0,0.000000,Weight-sensitive,2.888000,3.000000,2,5,3,0.758968,0,0.000000,848,0.848000,Weight-sensitive,8.925000,3,3.000000,3,GBR_fs3_AC.pkl
4,4,2,10,GBR,fs2,AC,0.875556,7.800000,0.619674,14.600000,2.000000,0.914765,0.581105,0.208085,0.756142,0.109721,0.140012,0.928741,77.333333,0.333660,-0.175037,0.333660,0.175037,True,False,True,False,Overfitting with high CV instability,4.000000,8.000000,19.000000,2.000000,2.000000,2.000000,10.333333,3,6.850000,4,9.700000,3,3.333333,3.000000,3.000000,4.000000,1.000000,0.577350,0,0.000000,Weight-sensitive,3.392000,4.000000,2,4,2,0.697727,0,0.000000,484,0.484000,Weight-sensitive,9.475000,4,4.000000,4,GBR_fs2_AC.pkl
5,5,4,16,XGB,fs2,AC,0.840000,9.400000,0.603105,20.200000,4.000000,0.983019,0.608251,0.238231,0.735957,0.115142,0.145692,0.927067,70.666667,0.374767,-0.127706,0.374767,0.127706,True,False,True,False,Overfitting with high CV instability,3.000000,13.000000,25.000000,4.000000,4.000000,4.000000,13.666667,5,7.800000,5,12.600000,5,5.000000,5.000000,5.000000,5.000000,0.000000,0.000000,0,0.000000,Weight-sensitive,4.767000,5.000000,3,7,4,0.570119,0,0.000000,29,0.029000,Weight-sensitive,9.925000,5,5.000000,5,XGB_fs2_AC.pkl
6,6,1,13,RF,fs2,AC,0.804444,11.000000,0.686672,18.000000,1.000000,0.899762,0.553628,0.234542,0.762366,0.109552,0.138214,0.933087,70.666667,0.346134,-0.208738,0.346134,0.208738,True,False,True,False,Overfitting with high CV instability,7.000000,12.000000,22.000000,1.000000,1.000000,1.000000,13.666667,6,10.000000,7,13.000000,6,6.333333,6.000000,6.000000,7.000000,1.000000,0.577350,0,0.000000,Weight-sensitive,6.607000,6.000000,6,9,3,0.742363,0,0.000000,0,0.000000,Weight-sensitive,15.275000,7,6.400000,6,RF_fs2_AC.pkl
7,7,5,25,XGB,fs3,AC,0.791111,11.600000,0.617773,23.000000,5.000000,0.983601,0.579870,0.244734,0.722289,0.117673,0.149415,0.921503,66.666667,0.403731,-0.142419,0.403731,0.142419,True,False,True,False,Overfitting with high CV instability,5.000000,14.000000,29.000000,5.000000,5.000000,5.000000,16.000000,10,9.950000,6,14.900000,8,8.000000,8.000000,6.000000,10.000000,4.000000,2.000000,0,0.000000,Unstable selection,7.094000,7.000000,5,10,5,1.009050,0,0.000000,0,0.000000,Weight-sensitive,15.925000,8,7.400000,7,XGB_fs3_AC.pkl
8,8,3,23,RF,fs3,AC,0.751111,13.400000,0.698196,22.400000,3.000000,0.910171,0.532427,0.269629,0.743647,0.112286,0.143554,0.921486,65.333333,0.377743,-0.211220,0.377743,0.211220,True,False,True,False,Overfitting with high CV instability,8.000000,17.000000,26.000000,3.000000,3.000000,3.000000,17.000000,16,12.050000,8,16.100000,13,12.333333,13.000000,8.000000,16.000000,8.000000,4.041452,0,0.000000,Unstable selection,9.932000,10.000000,8,13,5,1.349517,0,0.000000,0,0.000000,Weight-sensitive,17.675000,9,8.700000,9,RF_fs3_AC.pkl
8,8,14,12,GBR,fs1,AC,0.751111,13.400000,0.893989,15.400000,14.000000,0.767816,0.456643,0.267460,0.527849,0.132838,0.194822,0.850885,66.666667,0.311172,-0.071206,0.311172,0.071206,True,False,True,False,Overfitting with high CV instability,12.000000,16.000000,15.000000,15.000000,15.000000,10.000000,14.333333,7,13.050000,11,14.100000,7,8.333333,7.000000,7.000000,11.000000,4.000000,2.309401,0,0.000000,Unstable selection,10.177000,10.000000,6,13,7,2.410702,0,0.000000,0,0.000000,Unstable selection,18.975000,12,9.900000,10,GBR_fs1_AC.pkl
10,10,11,22,XGB,fs4,AC,0.751111,13.400000,0.513551,22.000000,11.200000,0.922687,0.488902,0.133358,0.556406,0.141599,0.188838,0.830683,62.666667,0.433785,-0.067504,0.433785,0.067504,True,False,False,False,Possible overfitting,10.000000,1.000000,36.000000,11.000000,11.000000,12.000000,15.666667,9,12.550000,9,15.100000,9,9.000000,9.000000,9.000000,9.000000,0.000000,0.000000,0,0.000000,Weight-sensitive,10.021000,9.000000,3,21,18,4.043131,0,0.000000,2,0.002000,Unstable selection,15.175000,6,8.400000,8,XGB_fs4_AC.pkl
