simulation,cv_r2_weight,cv_sd_weight,train_cv_gap_weight
1,0.516844,0.115498,0.367659
2,0.585989,0.232487,0.181524
3,0.620952,0.352594,0.026453
4,0.507615,0.179377,0.313008
5,0.510505,0.237620,0.251875
6,0.534592,0.406131,0.059277
7,0.672878,0.257107,0.070015
8,0.740710,0.224345,0.034945
9,0.543127,0.160750,0.296123
10,0.532423,0.092828,0.374749
11,0.535502,0.026442,0.438056
12,0.573248,0.168039,0.258713
13,0.537427,0.248801,0.213772
14,0.529474,0.138125,0.332401
15,0.789435,0.185193,0.025372
16,0.595409,0.119755,0.284836
17,0.714613,0.147931,0.137456
18,0.627811,0.105296,0.266893
19,0.606539,0.133391,0.260070
20,0.748763,0.103245,0.147993
21,0.522648,0.133724,0.343628
22,0.649923,0.036282,0.313794
23,0.600393,0.028500,0.371107
24,0.506225,0.219424,0.274351
25,0.504480,0.242270,0.253250
26,0.661117,0.082006,0.256877
27,0.508384,0.399236,0.092380
28,0.729484,0.009014,0.261501
29,0.504986,0.086408,0.408606
30,0.621015,0.309557,0.069428
31,0.716677,0.039327,0.243997
32,0.538170,0.176155,0.285676
33,0.644186,0.033195,0.322618
34,0.602648,0.327005,0.070346
35,0.788174,0.134241,0.077585
36,0.526365,0.220861,0.252774
37,0.502963,0.257536,0.239501
38,0.706686,0.092272,0.201042
39,0.747655,0.229412,0.022933
40,0.787018,0.132833,0.080150
41,0.600669,0.141828,0.257503
42,0.553186,0.389719,0.057095
43,0.526459,0.190056,0.283486
44,0.613858,0.353189,0.032953
45,0.795343,0.148740,0.055917
46,0.551393,0.430372,0.018234
47,0.508229,0.134754,0.357016
48,0.665962,0.255126,0.078912
49,0.797692,0.002700,0.199608
50,0.513938,0.005729,0.480333
51,0.570460,0.353616,0.075924
52,0.529526,0.247701,0.222773
53,0.716072,0.150456,0.133472
54,0.672192,0.042291,0.285517
55,0.638005,0.003598,0.358397
56,0.713877,0.001037,0.285086
57,0.600996,0.205851,0.193152
58,0.749756,0.155043,0.095202
59,0.504572,0.411582,0.083846
60,0.594195,0.241964,0.163841
61,0.789032,0.030838,0.180130
62,0.785191,0.128686,0.086123
63,0.590221,0.216416,0.193363
64,0.622733,0.038075,0.339193
65,0.638113,0.313635,0.048252
66,0.642142,0.317312,0.040546
67,0.734091,0.004809,0.261100
68,0.734391,0.103023,0.162586
69,0.579974,0.336661,0.083364
70,0.678641,0.240386,0.080973
71,0.503483,0.096938,0.399579
72,0.678243,0.163614,0.158143
73,0.516033,0.253703,0.230264
74,0.594816,0.204997,0.200187
75,0.740684,0.025717,0.233599
76,0.596714,0.074607,0.328679
77,0.575474,0.197361,0.227165
78,0.544160,0.168270,0.287570
79,0.515273,0.475435,0.009291
80,0.553266,0.180641,0.266093
81,0.512760,0.274922,0.212317
82,0.565126,0.104290,0.330584
83,0.530563,0.253498,0.215938
84,0.705922,0.264642,0.029436
85,0.507692,0.310041,0.182268
86,0.627454,0.147797,0.224749
87,0.559156,0.031638,0.409206
88,0.592746,0.162093,0.245161
89,0.751844,0.148437,0.099719
90,0.753940,0.167067,0.078994
91,0.674223,0.300965,0.024812
92,0.702775,0.101962,0.195263
93,0.670763,0.046274,0.282963
94,0.533913,0.026982,0.439105
95,0.603652,0.173695,0.222653
96,0.533304,0.161126,0.305569
97,0.689121,0.201196,0.109682
98,0.548266,0.236099,0.215636
99,0.636521,0.209275,0.154204
100,0.569175,0.010168,0.420657
101,0.662864,0.169888,0.167248
102,0.768297,0.219261,0.012442
103,0.759429,0.115316,0.125255
104,0.545550,0.337343,0.117107
105,0.588214,0.398288,0.013498
106,0.624689,0.287342,0.087969
107,0.774964,0.044129,0.180907
108,0.575280,0.246219,0.178502
109,0.799299,0.196224,0.004477
110,0.529229,0.426622,0.044149
111,0.683926,0.198717,0.117357
112,0.521284,0.241887,0.236829
113,0.711019,0.247291,0.041690
114,0.510224,0.028278,0.461498
115,0.728076,0.185112,0.086813
116,0.518213,0.374368,0.107419
117,0.729098,0.140996,0.129906
118,0.646734,0.147976,0.205290
119,0.558871,0.191003,0.250127
120,0.632939,0.174185,0.192876
121,0.550811,0.421714,0.027475
122,0.678836,0.198725,0.122439
123,0.648901,0.289184,0.061914
124,0.721213,0.114344,0.164443
125,0.540526,0.183038,0.276436
126,0.604592,0.069348,0.326060
127,0.732299,0.126664,0.141037
128,0.568740,0.212306,0.218955
129,0.620753,0.198776,0.180470
