model,feature_set,target,file,pipeline_contains_preprocessing,n_features,n_train,n_test,best_params,validation_split_used,r2_train,mae_train,mse_train,rmse_train,bias_train,ioa_train,ios_train,p20_train,ad_stat_train,r2_test,mae_test,mse_test,rmse_test,bias_test,ioa_test,ios_test,p20_test,ad_stat_test,cv_r2_mean,cv_r2_std,cv_r2_min,cv_r2_max,cv_mode,cv_folds,cv_repeats,train_cv_gap,cv_test_gap,abs_train_cv_gap,abs_cv_test_gap,possible_overfitting,possible_underfitting,high_cv_instability,holdout_sensitive,stable_generalization,generalization_diagnosis,rank_cv_r2,rank_cv_stability,rank_train_cv_gap,selection_rank_score,Selection Rank,rank_test_r2,rank_test_rmse,rank_test_mae,test_rank_score,Test Performance Rank,fs,test_shift,statistical_rank,selection_rank,statistical_score,statistical_score_ci_lower,statistical_score_ci_upper,statistical_score_ci_width,rank_stability,test_performance_rank,generalization_rank_score,generalization_rank,equal_score,equal_rank,performance_focused_score,performance_focused_rank,stability_focused_score,stability_focused_rank,sensitivity_mean_rank,sensitivity_median_rank,sensitivity_min_rank,sensitivity_max_rank,sensitivity_rank_range,sensitivity_rank_sd,first_place_count,first_place_rate,weight_sensitivity_diagnosis,mc_mean_rank,mc_median_rank,mc_min_rank,mc_max_rank,mc_rank_range,mc_rank_sd,mc_first_place_count,mc_first_place_rate,mc_top3_count,mc_top3_rate,mc_weight_sensitivity_diagnosis,robustness_rank_score,robustness_rank,recommended_rank_score,recommended_rank
DT,fs3,AC,DT_fs3_AC.pkl,True,6,257,75,"{""splitter"": ""best"", ""min_samples_split"": 8, ""min_samples_leaf"": 4, ""max_features"": null, ""max_depth"": 6, ""criterion"": ""friedman_mse"", ""ccp_alpha"": 0.005}",False,0.809115,0.147650,0.037305,0.193145,0.000000,0.945227,0.563096,67.315175,2.985132,0.500126,0.154972,0.040184,0.200460,0.021269,0.864946,0.292982,54.666667,1.960777,0.609673,0.182768,0.376287,0.878141,group,5,1,0.199442,0.109547,0.199442,0.109547,False,False,False,False,False,Moderate generalization,2.000000,2.000000,3.000000,2.200000,1,16.000000,16.000000,20.000000,16.800000,16,fs3,False,1,1,1.000000,,,,0.831926,16,2.600000,3,2.333333,1,2.150000,1,2.300000,1,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,3,1.000000,Highly robust,1.003000,1.000000,1,2,1,0.054717,997,0.997000,1000,1.000000,Highly robust,1.100000,1,1.000000,1
DT,fs2,AC,DT_fs2_AC.pkl,True,5,257,75,"{""splitter"": ""best"", ""min_samples_split"": 12, ""min_samples_leaf"": 6, ""max_features"": null, ""max_depth"": 5, ""criterion"": ""friedman_mse"", ""ccp_alpha"": 0.001}",False,0.875547,0.114944,0.024322,0.155955,0.000000,0.965982,0.647221,75.486381,2.787140,0.669072,0.123193,0.026603,0.163104,0.086880,0.910957,0.424737,66.666667,1.624930,0.614307,0.324940,0.082263,0.949605,group,5,1,0.261240,-0.054765,0.261240,0.054765,True,False,True,False,False,Overfitting with high CV instability,1.000000,25.000000,6.000000,6.800000,2,7.000000,7.000000,6.000000,6.800000,7,fs2,False,2,2,0.897778,,,,0.507807,7,13.600000,8,10.666667,4,5.350000,2,9.700000,3,3.000000,3.000000,2.000000,4.000000,2.000000,1.000000,0,0.000000,Weight-sensitive,3.559000,2.000000,1,12,11,2.408385,3,0.003000,637,0.637000,Unstable selection,4.500000,2,2.000000,2
GBR,fs3,AC,GBR_fs3_AC.pkl,True,6,257,75,"{""subsample"": 0.75, ""n_estimators"": 200, ""min_samples_split"": 4, ""min_samples_leaf"": 4, ""max_depth"": 3, ""loss"": ""squared_error"", ""learning_rate"": 0.01}",False,0.868551,0.126406,0.025689,0.160279,0.000144,0.957057,0.637441,72.373541,2.054119,0.710467,0.128278,0.023275,0.152562,0.077125,0.901230,0.461917,58.666667,0.755487,0.567685,0.187318,0.302220,0.789250,group,5,1,0.300867,-0.142783,0.300867,0.142783,True,False,False,False,False,Possible overfitting,6.000000,5.000000,12.000000,7.000000,3,6.000000,6.000000,9.000000,6.600000,6,fs3,False,3,3,0.893333,,,,0.712656,6,9.200000,5,7.666667,2,6.750000,3,7.500000,2,2.333333,2.000000,2.000000,3.000000,1.000000,0.577350,0,0.000000,Weight-sensitive,2.888000,3.000000,2,5,3,0.758968,0,0.000000,848,0.848000,Weight-sensitive,8.925000,3,3.000000,3
GBR,fs2,AC,GBR_fs2_AC.pkl,True,5,257,75,"{""subsample"": 0.9, ""n_estimators"": 200, ""min_samples_split"": 4, ""min_samples_leaf"": 6, ""max_depth"": 2, ""loss"": ""squared_error"", ""learning_rate"": 0.05}",False,0.914765,0.097292,0.016658,0.129065,0.000087,0.976330,0.708049,82.879377,1.974339,0.756142,0.109721,0.019603,0.140012,0.046531,0.928741,0.506180,77.333333,0.848447,0.581105,0.208085,0.383203,0.838981,group,5,1,0.333660,-0.175037,0.333660,0.175037,True,False,True,False,False,Overfitting with high CV instability,4.000000,8.000000,19.000000,7.800000,4,2.000000,2.000000,2.000000,2.000000,2,fs2,False,4,4,0.875556,,,,0.619674,2,14.600000,10,10.333333,3,6.850000,4,9.700000,3,3.333333,3.000000,3.000000,4.000000,1.000000,0.577350,0,0.000000,Weight-sensitive,3.392000,4.000000,2,4,2,0.697727,0,0.000000,484,0.484000,Weight-sensitive,9.475000,4,4.000000,4
XGB,fs2,AC,XGB_fs2_AC.pkl,True,5,257,75,"{""subsample"": 0.8, ""reg_lambda"": 1.0, ""reg_alpha"": 0.1, ""n_estimators"": 200, ""min_child_weight"": 1, ""max_depth"": 4, ""learning_rate"": 0.05, ""gamma"": 0.0, ""colsample_bytree"": 1.0}",False,0.983019,0.042554,0.003319,0.057608,-0.000133,0.995603,0.869687,98.054475,1.928341,0.735957,0.115142,0.021226,0.145692,0.071752,0.927067,0.486149,70.666667,0.570947,0.608251,0.238231,0.307941,0.913413,group,5,1,0.374767,-0.127706,0.374767,0.127706,True,False,True,False,False,Overfitting with high CV instability,3.000000,13.000000,25.000000,9.400000,5,4.000000,4.000000,4.000000,4.000000,4,fs2,False,5,5,0.840000,,,,0.603105,4,20.200000,16,13.666667,5,7.800000,5,12.600000,5,5.000000,5.000000,5.000000,5.000000,0.000000,0.000000,0,0.000000,Weight-sensitive,4.767000,5.000000,3,7,4,0.570119,0,0.000000,29,0.029000,Weight-sensitive,9.925000,5,5.000000,5
RF,fs2,AC,RF_fs2_AC.pkl,True,5,257,75,"{""n_estimators"": 400, ""min_samples_split"": 12, ""min_samples_leaf"": 2, ""max_features"": 0.75, ""max_depth"": 5}",False,0.899762,0.105216,0.019590,0.139963,-0.002066,0.970475,0.683396,84.435798,3.438336,0.762366,0.109552,0.019103,0.138214,0.072099,0.933087,0.512523,70.666667,0.877372,0.553628,0.234542,0.255897,0.844071,group,5,1,0.346134,-0.208738,0.346134,0.208738,True,False,True,True,False,Overfitting with high CV instability,7.000000,12.000000,22.000000,11.000000,6,1.000000,1.000000,1.000000,1.000000,1,fs2,True,6,6,0.804444,,,,0.686672,1,18.000000,13,13.666667,6,10.000000,7,13.000000,6,6.333333,6.000000,6.000000,7.000000,1.000000,0.577350,0,0.000000,Weight-sensitive,6.607000,6.000000,6,9,3,0.742363,0,0.000000,0,0.000000,Weight-sensitive,15.275000,7,6.400000,6
XGB,fs3,AC,XGB_fs3_AC.pkl,True,6,257,75,"{""subsample"": 0.8, ""reg_lambda"": 1.0, ""reg_alpha"": 0.1, ""n_estimators"": 200, ""min_child_weight"": 1, ""max_depth"": 4, ""learning_rate"": 0.05, ""gamma"": 0.0, ""colsample_bytree"": 1.0}",False,0.983601,0.040919,0.003205,0.056612,0.000280,0.995738,0.871942,97.276265,2.670305,0.722289,0.117673,0.022325,0.149415,0.072856,0.921503,0.473017,66.666667,0.707751,0.579870,0.244734,0.358963,0.911728,group,5,1,0.403731,-0.142419,0.403731,0.142419,True,False,True,False,False,Overfitting with high CV instability,5.000000,14.000000,29.000000,11.600000,7,5.000000,5.000000,5.000000,5.000000,5,fs3,False,7,7,0.791111,,,,0.617773,5,23.000000,25,16.000000,10,9.950000,6,14.900000,8,8.000000,8.000000,6.000000,10.000000,4.000000,2.000000,0,0.000000,Unstable selection,7.094000,7.000000,5,10,5,1.009050,0,0.000000,0,0.000000,Weight-sensitive,15.925000,8,7.400000,7
RF,fs3,AC,RF_fs3_AC.pkl,True,6,257,75,"{""n_estimators"": 400, ""min_samples_split"": 8, ""min_samples_leaf"": 4, ""max_features"": 0.75, ""max_depth"": 7}",False,0.910171,0.092646,0.017556,0.132497,-0.001940,0.974009,0.700285,84.824903,4.123625,0.743647,0.112286,0.020608,0.143554,0.067286,0.921486,0.493687,65.333333,0.701363,0.532427,0.269629,0.166675,0.863496,group,5,1,0.377743,-0.211220,0.377743,0.211220,True,False,True,True,False,Overfitting with high CV instability,8.000000,17.000000,26.000000,13.400000,8,3.000000,3.000000,3.000000,3.000000,3,fs3,True,8,8,0.751111,,,,0.698196,3,22.400000,23,17.000000,16,12.050000,8,16.100000,13,12.333333,13.000000,8.000000,16.000000,8.000000,4.041452,0,0.000000,Unstable selection,9.932000,10.000000,8,13,5,1.349517,0,0.000000,0,0.000000,Weight-sensitive,17.675000,9,8.700000,9
GBR,fs1,AC,GBR_fs1_AC.pkl,True,4,257,75,"{""subsample"": 0.75, ""n_estimators"": 300, ""min_samples_split"": 12, ""min_samples_leaf"": 8, ""max_depth"": 1, ""loss"": ""squared_error"", ""learning_rate"": 0.05}",False,0.767816,0.150573,0.045376,0.213017,0.000341,0.924753,0.518145,67.315175,3.826351,0.527849,0.132838,0.037956,0.194822,0.041588,0.850885,0.312868,66.666667,2.763212,0.456643,0.267460,0.228849,0.755903,group,5,1,0.311172,-0.071206,0.311172,0.071206,True,False,True,False,False,Overfitting with high CV instability,12.000000,16.000000,15.000000,13.400000,8,15.000000,15.000000,10.000000,14.000000,14,fs1,False,8,8,0.751111,,,,0.893989,14,15.400000,12,14.333333,7,13.050000,11,14.100000,7,8.333333,7.000000,7.000000,11.000000,4.000000,2.309401,0,0.000000,Unstable selection,10.177000,10.000000,6,13,7,2.410702,0,0.000000,0,0.000000,Unstable selection,18.975000,12,9.900000,10
XGB,fs4,AC,XGB_fs4_AC.pkl,True,4,257,75,"{""subsample"": 1.0, ""reg_lambda"": 1.0, ""reg_alpha"": 0.1, ""n_estimators"": 400, ""min_child_weight"": 1, ""max_depth"": 2, ""learning_rate"": 0.05, ""gamma"": 0.0, ""colsample_bytree"": 0.8}",False,0.922687,0.091304,0.015109,0.122921,0.000071,0.978655,0.721948,85.214008,1.998706,0.556406,0.141599,0.035660,0.188838,0.005417,0.830683,0.333971,62.666667,1.336260,0.488902,0.133358,0.312570,0.640938,group,5,1,0.433785,-0.067504,0.433785,0.067504,True,False,False,False,False,Possible overfitting,10.000000,1.000000,36.000000,13.400000,10,11.000000,11.000000,12.000000,11.200000,11,fs4,False,10,10,0.751111,,,,0.513551,11,22.000000,22,15.666667,9,12.550000,9,15.100000,9,9.000000,9.000000,9.000000,9.000000,0.000000,0.000000,0,0.000000,Weight-sensitive,10.021000,9.000000,3,21,18,4.043131,0,0.000000,2,0.002000,Unstable selection,15.175000,6,8.400000,8
