model,feature_set,fs,target,file,feature_count,feature_names,classes,class_boundaries,pipeline_contains_preprocessing,best_params,cv_mode,cv_folds,cv_repeats,cv_score_count,cv_macro_f1,cv_macro_f1_std,saved_cv_train_macro_f1,saved_cv_train_macro_f1_std,train_accuracy,train_balanced_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,train_weighted_f1,train_mcc,train_cohen_kappa,train_log_loss,train_roc_auc_ovr_macro,train_roc_auc_ovr_weighted,n_train,val_accuracy,val_balanced_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_f1,val_mcc,val_cohen_kappa,val_log_loss,val_roc_auc_ovr_macro,val_roc_auc_ovr_weighted,n_val,test_accuracy,test_balanced_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,test_weighted_f1,test_mcc,test_cohen_kappa,test_log_loss,test_roc_auc_ovr_macro,test_roc_auc_ovr_weighted,n_test,val_balanced_error,test_balanced_error,train_cv_gap,train_val_gap,cv_val_gap,val_test_gap,abs_train_cv_gap,abs_cv_val_gap,abs_val_test_gap,possible_overfitting,possible_underfitting,high_cv_instability,split_sensitive,stable_generalization,generalization_diagnosis,rank_cv_macro_f1,rank_val_macro_f1,rank_cv_stability,rank_train_cv_gap,rank_val_balanced_error,selection_rank_score,Selection Rank,rank_test_macro_f1,rank_test_balanced_accuracy,rank_test_mcc,test_rank_score,Test Performance Rank,rank_generalization_gap,rank_generalization_cv_sd,rank_generalization_split_gap,generalization_rank_score,Generalization Rank
SVC,fs1,fs1,AC,SVC_fs1_AC_class.pkl,2,Ucs_class|PI/FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__C"": 10, ""classifier__class_weight"": null, ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""rbf""}",group,5,1,5,0.640229,0.101015,,,0.700389,0.652039,0.743684,0.652039,0.672881,0.686070,0.524549,0.502051,0.686092,0.844897,0.840184,257,,,,,,,,,,,,0,0.853333,0.750000,0.773737,0.750000,0.756190,0.849790,0.750234,0.741379,0.514836,0.905835,0.912949,75,,0.250000,0.032652,,,,0.032652,,,False,False,False,False,True,Stable generalization,2.000000,18.500000,13.000000,1.000000,18.500000,4.000000,1,6.000000,9.500000,6.000000,7.050000,7,1.000000,13.000000,18.500000,5.800000,1
XGB,fs1,fs1,AC,XGB_fs1_AC_class.pkl,2,Ucs_class|PI/FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__colsample_bytree"": 1.0, ""classifier__learning_rate"": 0.01, ""classifier__max_depth"": 3, ""classifier__n_estimators"": 200, ""classifier__subsample"": 0.8}",group,5,1,5,0.649244,0.104533,,,0.739300,0.693926,0.780677,0.693926,0.717401,0.730548,0.585910,0.570127,0.642130,0.900559,0.894214,257,,,,,,,,,,,,0,0.866667,0.761905,0.823671,0.761905,0.783940,0.860220,0.771623,0.761070,0.545982,0.930501,0.942028,75,,0.238095,0.068157,,,,0.068157,,,False,False,False,False,True,Stable generalization,1.000000,18.500000,18.000000,6.000000,18.500000,5.400000,2,2.500000,6.000000,2.500000,3.550000,2,6.000000,18.000000,18.500000,10.800000,4
ANN,fs1,fs1,AC,ANN_fs1_AC_class.pkl,2,Ucs_class|PI/FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__activation"": ""relu"", ""classifier__alpha"": 0.01, ""classifier__batch_size"": 16, ""classifier__early_stopping"": true, ""classifier__hidden_layer_sizes"": [64, 32], ""classifier__learning_rate_init"": 0.005, ""classifier__max_iter"": 3000, ""classifier__solver"": ""adam""}",group,5,1,5,0.631534,0.136543,,,0.712062,0.670816,0.729708,0.670816,0.687775,0.703056,0.539202,0.528686,0.668018,0.849709,0.844007,257,,,,,,,,,,,,0,0.853333,0.750000,0.761785,0.750000,0.750116,0.852471,0.751258,0.743868,0.521177,0.893546,0.910967,75,,0.250000,0.056241,,,,0.056241,,,False,False,False,False,True,Stable generalization,3.000000,18.500000,29.000000,3.000000,18.500000,8.200000,3,7.000000,9.500000,5.000000,7.350000,8,3.000000,29.000000,18.500000,13.400000,7
KNN,fs1,fs1,AC,KNN_fs1_AC_class.pkl,2,Ucs_class|PI/FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__n_neighbors"": 7, ""classifier__p"": 1, ""classifier__weights"": ""uniform""}",group,5,1,5,0.631494,0.120569,,,0.715953,0.677249,0.755808,0.677249,0.699822,0.711338,0.543731,0.535745,0.548281,0.889008,0.882154,257,,,,,,,,,,,,0,0.773333,0.698718,0.715476,0.698718,0.706259,0.771319,0.604869,0.604651,0.504156,0.895280,0.901589,75,,0.301282,0.068328,,,,0.068328,,,False,False,False,False,True,Stable generalization,4.000000,18.500000,24.000000,7.000000,18.500000,8.600000,4,12.000000,13.000000,15.000000,12.900000,13,7.000000,24.000000,18.500000,13.800000,8
SVC,fs2,fs2,AC,SVC_fs2_AC_class.pkl,3,Ucs_class|PI|FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__C"": 100, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": ""scale"", ""classifier__kernel"": ""linear""}",group,5,1,5,0.618984,0.149788,,,0.688716,0.662698,0.674969,0.662698,0.658640,0.677893,0.510249,0.501709,0.731324,0.822671,0.824059,257,,,,,,,,,,,,0,0.773333,0.711691,0.725946,0.711691,0.674835,0.785083,0.649586,0.624116,0.590322,0.887428,0.919244,75,,0.288309,0.039656,,,,0.039656,,,False,False,False,False,True,Stable generalization,6.000000,18.500000,34.000000,2.000000,18.500000,10.800000,5,14.000000,12.000000,9.000000,12.400000,12,2.000000,34.000000,18.500000,14.800000,10
RF,fs1,fs1,AC,RF_fs1_AC_class.pkl,2,Ucs_class|PI/FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__class_weight"": null, ""classifier__max_depth"": 5, ""classifier__min_samples_leaf"": 4, ""classifier__min_samples_split"": 2, ""classifier__n_estimators"": 100}",group,5,1,5,0.616461,0.110054,,,0.747082,0.700695,0.787729,0.700695,0.724220,0.738228,0.599097,0.582959,0.543504,0.913753,0.908744,257,,,,,,,,,,,,0,0.866667,0.761905,0.823671,0.761905,0.783940,0.860220,0.771623,0.761070,0.445448,0.927611,0.934110,75,,0.238095,0.107759,,,,0.107759,,,False,False,False,False,False,Moderate generalization,7.000000,18.500000,20.000000,14.000000,18.500000,11.000000,6,2.500000,6.000000,2.500000,3.550000,2,14.000000,20.000000,18.500000,16.400000,14
LOGREG,fs1,fs1,AC,LOGREG_fs1_AC_class.pkl,2,Ucs_class|PI/FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__max_iter"": 3000, ""classifier__penalty"": ""l2"", ""classifier__solver"": ""lbfgs""}",group,5,1,5,0.547057,0.101772,,,0.661479,0.632975,0.643520,0.632975,0.634110,0.652552,0.460976,0.456726,0.815597,0.797844,0.805482,257,,,,,,,,,,,,0,0.733333,0.689408,0.655678,0.689408,0.653213,0.743520,0.566687,0.558304,0.736650,0.827729,0.884989,75,,0.310592,0.087053,,,,0.087053,,,False,False,False,False,False,Moderate generalization,13.000000,18.500000,14.000000,10.000000,18.500000,12.600000,7,17.000000,14.000000,19.000000,16.500000,16,10.000000,14.000000,18.500000,11.600000,5
GBC,fs1,fs1,AC,GBC_fs1_AC_class.pkl,2,Ucs_class|PI/FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__learning_rate"": 0.01, ""classifier__max_depth"": 3, ""classifier__n_estimators"": 100}",group,5,1,5,0.620415,0.141322,,,0.754864,0.710836,0.792969,0.710836,0.733981,0.746912,0.611402,0.596797,0.672019,0.900625,0.896849,257,,,,,,,,,,,,0,0.853333,0.753358,0.809259,0.753358,0.774115,0.847326,0.745402,0.738095,0.616851,0.921029,0.932877,75,,0.246642,0.113566,,,,0.113566,,,False,False,False,False,False,Moderate generalization,5.000000,18.500000,32.000000,16.000000,18.500000,12.600000,8,5.000000,8.000000,7.000000,6.300000,6,16.000000,32.000000,18.500000,22.400000,27
ET,fs1,fs1,AC,ET_fs1_AC_class.pkl,2,Ucs_class|PI/FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__class_weight"": null, ""classifier__max_depth"": 5, ""classifier__min_samples_leaf"": 1, ""classifier__n_estimators"": 500}",group,5,1,5,0.616193,0.134356,,,0.731518,0.688194,0.776413,0.688194,0.711649,0.722025,0.574616,0.556464,0.645489,0.882356,0.875757,257,,,,,,,,,,,,0,0.866667,0.761905,0.798206,0.761905,0.774883,0.861838,0.771482,0.763407,0.553634,0.927681,0.939711,75,,0.238095,0.095456,,,,0.095456,,,False,False,False,False,False,Moderate generalization,8.000000,18.500000,28.000000,12.000000,18.500000,12.800000,9,4.000000,6.000000,4.000000,4.600000,4,12.000000,28.000000,18.500000,18.400000,16
LOGREG,fs2,fs2,AC,LOGREG_fs2_AC_class.pkl,3,Ucs_class|PI|FF,Inactive|Normal|Active,"{""Active"": ""AC > 1.25"", ""Inactive"": ""AC < 0.75"", ""Normal"": ""0.75 <= AC <= 1.25""}",True,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__max_iter"": 3000, ""classifier__penalty"": ""l2"", ""classifier__solver"": ""lbfgs""}",group,5,1,5,0.585169,0.138746,,,0.673152,0.655903,0.657009,0.655903,0.648214,0.662321,0.485823,0.479318,0.790041,0.809048,0.813108,257,,,,,,,,,,,,0,0.733333,0.675977,0.711240,0.675977,0.627991,0.744046,0.601730,0.565469,0.722031,0.840778,0.879354,75,,0.324023,0.063045,,,,0.063045,,,False,False,False,False,True,Stable generalization,10.000000,18.500000,30.000000,4.000000,18.500000,12.800000,9,20.000000,21.000000,16.000000,19.500000,19,4.000000,30.000000,18.500000,14.400000,9
