Feature,sum_sq,df,F,PR(>F),FeatureSet,Target
Distance,0.10259258431393392,1.0,1.0121149547677142,0.31514054916104395,AC_fs1,AC
Depth,1.4378367923281081,1.0,14.184808090781942,0.00019646167787794818,AC_fs1,AC
Ucs_class,0.7811874710146227,1.0,7.706712207109156,0.005818461971332651,AC_fs1,AC
PI/FF,16.21130148032356,1.0,159.93066920193564,4.084370875133943e-30,AC_fs1,AC
Residual,33.1462102329629,327.0,,,AC_fs1,AC
Distance,0.5047169119741111,1.0,5.426793415480252,0.02044043026524022,AC_fs2,AC
Depth,1.5837424133472626,1.0,17.028640603607478,4.6801193206058094e-05,AC_fs2,AC
Ucs_class,0.01616280092821644,1.0,0.1737849070876036,0.677044080481509,AC_fs2,AC
PI,5.007467400335194,1.0,53.84105519682871,1.741493302102778e-12,AC_fs2,AC
FF,14.713344065291556,1.0,158.2001252561858,7.596798216923765e-30,AC_fs2,AC
Residual,30.319509276731733,326.0,,,AC_fs2,AC
Distance,0.5626009721419183,1.0,6.0476231716380004,0.014445664966506958,AC_fs3,AC
Depth,1.4231819108197947,1.0,15.298352344756918,0.00011179279428861051,AC_fs3,AC
Ucs_class,1.49139890416185e-06,1.0,1.603164412714442e-05,0.9968077723330592,AC_fs3,AC
LL,5.068519777076391,1.0,54.48354902952504,1.3235101228532952e-12,AC_fs3,AC
PL,2.105148015445667,1.0,22.629079131284346,2.959572822884627e-06,AC_fs3,AC
FF,13.937410590760836,1.0,149.81880838281964,1.3758470869486481e-28,AC_fs3,AC
Residual,30.234244224016315,325.0,,,AC_fs3,AC
Distance,0.9155356279169841,1.0,6.648038667571646,0.010363485104645132,AC_fs4,AC
Depth,2.8955167599347544,1.0,21.025405015033947,6.462351736710157e-06,AC_fs4,AC
Ucs_class,0.08595698797012685,1.0,0.6241650923771692,0.4300762411873372,AC_fs4,AC
PI,4.324658371263148,1.0,31.402924364186248,4.456990014792266e-08,AC_fs4,AC
Residual,45.03285334202329,327.0,,,AC_fs4,AC
