statistical_rank,selection_rank,test_performance_rank,generalization_rank,model,feature_set,target,statistical_score,selection_rank_score,rank_stability,generalization_rank_score,test_rank_score,r2_train,cv_r2_mean,cv_r2_std,r2_test,mae_test,rmse_test,ioa_test,p20_test,train_cv_gap,cv_test_gap,abs_train_cv_gap,abs_cv_test_gap,possible_overfitting,possible_underfitting,high_cv_instability,stable_generalization,generalization_diagnosis,rank_cv_r2,rank_cv_stability,rank_train_cv_gap,rank_test_r2,rank_test_rmse,rank_test_mae,equal_score,equal_rank,performance_focused_score,performance_focused_rank,stability_focused_score,stability_focused_rank,sensitivity_mean_rank,sensitivity_median_rank,sensitivity_min_rank,sensitivity_max_rank,sensitivity_rank_range,sensitivity_rank_sd,first_place_count,first_place_rate,weight_sensitivity_diagnosis,mc_mean_rank,mc_median_rank,mc_min_rank,mc_max_rank,mc_rank_range,mc_rank_sd,mc_first_place_count,mc_first_place_rate,mc_top3_count,mc_top3_rate,mc_weight_sensitivity_diagnosis,robustness_rank_score,robustness_rank,recommended_rank_score,recommended_rank,file
1,1,9,5,SVR,fs2,AC,1.000000,6.400000,0.509262,11.200000,10.000000,0.436725,0.278999,0.241681,0.340591,0.192184,0.230237,0.770407,30.666667,0.157726,-0.061592,0.157726,0.061592,False,False,True,False,High CV instability,2.000000,22.000000,4.000000,8.000000,8.000000,18.000000,9.333333,1,5.300000,1,8.600000,1,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,3,1.000000,Highly robust,1.081000,1.000000,1,3,2,0.276614,920,0.920000,1000,1.000000,Moderately robust,1.000000,1,1.000000,1,SVR_fs2_AC.pkl
2,2,11,8,SVR,fs3,AC,0.973404,7.400000,0.512095,15.000000,12.200000,0.456581,0.283550,0.255373,0.318447,0.192046,0.234071,0.748357,34.666667,0.173031,-0.034897,0.173031,0.034897,False,False,True,False,High CV instability,1.000000,27.000000,7.000000,11.000000,11.000000,17.000000,11.666667,2,5.800000,2,10.600000,2,2.000000,2.000000,2.000000,2.000000,0.000000,0.000000,0,0.000000,Weight-sensitive,2.102000,2.000000,1,4,3,0.407139,21,0.021000,984,0.984000,Weight-sensitive,2.350000,2,2.000000,2,SVR_fs3_AC.pkl
3,3,5,6,SVR,fs1,AC,0.909574,9.800000,0.525296,13.000000,5.000000,0.410302,0.260158,0.259253,0.357978,0.177437,0.227181,0.769105,44.000000,0.150144,-0.097820,0.150144,0.097820,False,False,True,False,High CV instability,6.000000,28.000000,3.000000,5.000000,5.000000,5.000000,12.333333,3,8.850000,4,11.700000,3,3.333333,3.000000,3.000000,4.000000,1.000000,0.577350,0,0.000000,Weight-sensitive,3.975000,4.000000,3,10,7,1.325191,0,0.000000,456,0.456000,Weight-sensitive,9.575000,3,3.200000,3,SVR_fs1_AC.pkl
4,4,7,15,ANN,fs2,AC,0.904255,10.000000,0.576354,18.800000,9.200000,0.461768,0.260865,0.296572,0.339970,0.185127,0.230345,0.800146,37.333333,0.200903,-0.079105,0.200903,0.079105,True,False,True,False,Overfitting with high CV instability,3.000000,29.000000,12.000000,9.000000,9.000000,10.000000,14.666667,7,8.250000,3,13.500000,4,4.666667,4.000000,3.000000,7.000000,4.000000,2.081666,0,0.000000,Unstable selection,3.922000,4.000000,3,8,5,0.894828,0,0.000000,336,0.336000,Weight-sensitive,9.575000,3,3.800000,4,ANN_fs2_AC.pkl
5,5,23,20,EN,fs2,AC,0.856383,11.800000,0.531435,20.600000,23.200000,0.436641,0.260442,0.379828,0.248552,0.194233,0.245780,0.776094,41.333333,0.176198,0.011891,0.176198,0.011891,False,False,True,False,High CV instability,4.000000,38.000000,9.000000,24.000000,24.000000,20.000000,17.000000,11,9.850000,5,15.700000,10,8.666667,10.000000,5.000000,11.000000,6.000000,3.214550,0,0.000000,Unstable selection,6.181000,5.000000,4,18,14,2.547298,0,0.000000,0,0.000000,Unstable selection,16.150000,6,5.400000,5,EN_fs2_AC.pkl
6,6,22,18,LASSO,fs2,AC,0.851064,12.000000,0.535965,19.600000,22.600000,0.436488,0.260293,0.376938,0.249644,0.194378,0.245601,0.775630,41.333333,0.176194,0.010649,0.176194,0.010649,False,False,True,False,High CV instability,5.000000,37.000000,8.000000,23.000000,23.000000,21.000000,16.666667,10,10.250000,6,15.500000,8,8.000000,8.000000,6.000000,10.000000,4.000000,2.000000,0,0.000000,Unstable selection,7.324000,6.000000,5,19,14,2.544700,0,0.000000,0,0.000000,Unstable selection,16.500000,8,6.800000,7,LASSO_fs2_AC.pkl
7,7,3,17,GBR,fs2,AC,0.813830,13.400000,0.740129,19.400000,4.000000,0.460231,0.232455,0.245519,0.395846,0.174308,0.220379,0.795320,44.000000,0.227776,-0.163391,0.227776,0.163391,True,False,True,False,Overfitting with high CV instability,9.000000,23.000000,17.000000,4.000000,4.000000,4.000000,16.333333,9,12.300000,8,15.600000,9,8.666667,9.000000,8.000000,9.000000,1.000000,0.577350,0,0.000000,Weight-sensitive,8.151000,8.000000,6,11,5,1.285243,0,0.000000,0,0.000000,Weight-sensitive,16.175000,7,7.300000,8,GBR_fs2_AC.pkl
7,7,17,11,ET,fs2,AC,0.813830,13.400000,0.603105,16.200000,16.200000,0.455814,0.182693,0.158729,0.315797,0.207953,0.234525,0.748391,30.666667,0.273121,-0.133104,0.273121,0.133104,True,False,False,False,Possible overfitting,13.000000,3.000000,25.000000,12.000000,12.000000,33.000000,13.666667,5,13.300000,10,13.600000,5,6.666667,5.000000,5.000000,10.000000,5.000000,2.886751,0,0.000000,Unstable selection,8.230000,9.000000,1,15,14,4.221009,59,0.059000,208,0.208000,Unstable selection,9.675000,5,6.500000,6,ET_fs2_AC.pkl
9,9,32,9,RIDGE,fs3,AC,0.808511,13.600000,0.825925,15.400000,31.800000,0.391766,0.185108,0.230585,0.223801,0.214206,0.249795,0.720679,30.666667,0.206658,-0.038693,0.206658,0.038693,True,True,True,False,Possible underfitting,12.000000,19.000000,13.000000,31.000000,31.000000,35.000000,14.666667,6,13.200000,9,14.400000,7,7.333333,7.000000,6.000000,9.000000,3.000000,1.527525,0,0.000000,Unstable selection,8.852000,9.000000,6,11,5,1.535074,0,0.000000,0,0.000000,Unstable selection,17.275000,9,9.000000,9,RIDGE_fs3_AC.pkl
10,10,25,23,RIDGE,fs2,AC,0.797872,14.000000,0.564006,21.600000,23.800000,0.436899,0.256482,0.380482,0.247849,0.193899,0.245895,0.777234,41.333333,0.180416,0.008634,0.180416,0.008634,False,False,True,False,High CV instability,7.000000,39.000000,10.000000,25.000000,25.000000,19.000000,18.666667,14,12.250000,7,17.500000,11,10.666667,11.000000,7.000000,14.000000,7.000000,3.511885,0,0.000000,Unstable selection,9.590000,8.000000,7,23,16,3.511728,0,0.000000,0,0.000000,Unstable selection,18.275000,10,10.000000,10,RIDGE_fs2_AC.pkl
