model,feature_set,target,file,pipeline_contains_preprocessing,n_features,n_train,n_test,best_params,validation_split_used,r2_train,mae_train,mse_train,rmse_train,bias_train,ioa_train,ios_train,p20_train,ad_stat_train,r2_test,mae_test,mse_test,rmse_test,bias_test,ioa_test,ios_test,p20_test,ad_stat_test,cv_r2_mean,cv_r2_std,cv_r2_min,cv_r2_max,cv_mode,cv_folds,cv_repeats,train_cv_gap,cv_test_gap,abs_train_cv_gap,abs_cv_test_gap,possible_overfitting,possible_underfitting,high_cv_instability,holdout_sensitive,stable_generalization,generalization_diagnosis,rank_cv_r2,rank_cv_stability,rank_train_cv_gap,selection_rank_score,Selection Rank,rank_test_r2,rank_test_rmse,rank_test_mae,test_rank_score,Test Performance Rank,fs,test_shift,statistical_rank,selection_rank,statistical_score,statistical_score_ci_lower,statistical_score_ci_upper,statistical_score_ci_width,rank_stability,test_performance_rank,generalization_rank_score,generalization_rank,equal_score,equal_rank,performance_focused_score,performance_focused_rank,stability_focused_score,stability_focused_rank,sensitivity_mean_rank,sensitivity_median_rank,sensitivity_min_rank,sensitivity_max_rank,sensitivity_rank_range,sensitivity_rank_sd,first_place_count,first_place_rate,weight_sensitivity_diagnosis,mc_mean_rank,mc_median_rank,mc_min_rank,mc_max_rank,mc_rank_range,mc_rank_sd,mc_first_place_count,mc_first_place_rate,mc_top3_count,mc_top3_rate,mc_weight_sensitivity_diagnosis,robustness_rank_score,robustness_rank,recommended_rank_score,recommended_rank
SVR,fs2,AC,SVR_fs2_AC.pkl,True,3,257,75,"{""kernel"": ""rbf"", ""gamma"": 0.1, ""epsilon"": 0.2, ""C"": 0.1}",False,0.436725,0.224017,0.110082,0.331786,-0.024625,0.741401,0.249484,47.859922,15.960592,0.340591,0.192184,0.053009,0.230237,0.114800,0.770407,0.187960,30.666667,6.221668,0.278999,0.241681,-0.100647,0.458686,group,5,1,0.157726,-0.061592,0.157726,0.061592,False,False,True,False,False,High CV instability,2.000000,22.000000,4.000000,6.400000,1,8.000000,8.000000,18.000000,10.000000,9,fs2,False,1,1,1.000000,,,,0.509262,9,11.200000,5,9.333333,1,5.300000,1,8.600000,1,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,3,1.000000,Highly robust,1.081000,1.000000,1,3,2,0.276614,920,0.920000,1000,1.000000,Moderately robust,1.000000,1,1.000000,1
SVR,fs3,AC,SVR_fs3_AC.pkl,True,4,257,75,"{""kernel"": ""rbf"", ""gamma"": 0.1, ""epsilon"": 0.2, ""C"": 0.1}",False,0.456581,0.224244,0.106202,0.325886,-0.023417,0.744062,0.262830,47.859922,14.513555,0.318447,0.192046,0.054789,0.234071,0.109527,0.748357,0.174438,34.666667,5.279441,0.283550,0.255373,-0.165385,0.428616,group,5,1,0.173031,-0.034897,0.173031,0.034897,False,False,True,False,False,High CV instability,1.000000,27.000000,7.000000,7.400000,2,11.000000,11.000000,17.000000,12.200000,11,fs3,False,2,2,0.973404,,,,0.512095,11,15.000000,8,11.666667,2,5.800000,2,10.600000,2,2.000000,2.000000,2.000000,2.000000,0.000000,0.000000,0,0.000000,Weight-sensitive,2.102000,2.000000,1,4,3,0.407139,21,0.021000,984,0.984000,Weight-sensitive,2.350000,2,2.000000,2
SVR,fs1,AC,SVR_fs1_AC.pkl,True,2,257,75,"{""kernel"": ""rbf"", ""gamma"": 0.1, ""epsilon"": 0.2, ""C"": 0.1}",False,0.410302,0.223940,0.115246,0.339479,-0.027700,0.734579,0.232082,49.027237,19.652493,0.357978,0.177437,0.051611,0.227181,0.097321,0.769105,0.198737,44.000000,6.880615,0.260158,0.259253,-0.120188,0.499850,group,5,1,0.150144,-0.097820,0.150144,0.097820,False,False,True,False,False,High CV instability,6.000000,28.000000,3.000000,9.800000,3,5.000000,5.000000,5.000000,5.000000,5,fs1,False,3,3,0.909574,,,,0.525296,5,13.000000,6,12.333333,3,8.850000,4,11.700000,3,3.333333,3.000000,3.000000,4.000000,1.000000,0.577350,0,0.000000,Weight-sensitive,3.975000,4.000000,3,10,7,1.325191,0,0.000000,456,0.456000,Weight-sensitive,9.575000,3,3.200000,3
ANN,fs2,AC,ANN_fs2_AC.pkl,True,3,257,75,"{""solver"": ""adam"", ""max_iter"": 2000, ""learning_rate_init"": 0.003, ""hidden_layer_sizes"": [32], ""early_stopping"": true, ""batch_size"": 16, ""alpha"": 1.0, ""activation"": ""relu""}",False,0.461768,0.221303,0.105188,0.324327,-0.013143,0.777568,0.266357,49.805447,10.585254,0.339970,0.185127,0.053059,0.230345,0.114543,0.800146,0.187578,37.333333,3.768776,0.260865,0.296572,-0.079944,0.548420,group,5,1,0.200903,-0.079105,0.200903,0.079105,True,False,True,False,False,Overfitting with high CV instability,3.000000,29.000000,12.000000,10.000000,4,9.000000,9.000000,10.000000,9.200000,7,fs2,False,4,4,0.904255,,,,0.576354,7,18.800000,15,14.666667,7,8.250000,3,13.500000,4,4.666667,4.000000,3.000000,7.000000,4.000000,2.081666,0,0.000000,Unstable selection,3.922000,4.000000,3,8,5,0.894828,0,0.000000,336,0.336000,Weight-sensitive,9.575000,3,3.800000,4
EN,fs2,AC,EN_fs2_AC.pkl,True,3,257,75,"{""selection"": ""random"", ""max_iter"": 10000, ""l1_ratio"": 0.9, ""alpha"": 0.01}",False,0.436641,0.226402,0.110099,0.331811,0.000000,0.767781,0.249427,47.859922,11.616020,0.248552,0.194233,0.060408,0.245780,0.121752,0.776094,0.133139,41.333333,3.511984,0.260442,0.379828,-0.179725,0.604884,group,5,1,0.176198,0.011891,0.176198,0.011891,False,False,True,False,False,High CV instability,4.000000,38.000000,9.000000,11.800000,5,24.000000,24.000000,20.000000,23.200000,23,fs2,False,5,5,0.856383,,,,0.531435,23,20.600000,20,17.000000,11,9.850000,5,15.700000,10,8.666667,10.000000,5.000000,11.000000,6.000000,3.214550,0,0.000000,Unstable selection,6.181000,5.000000,4,18,14,2.547298,0,0.000000,0,0.000000,Unstable selection,16.150000,6,5.400000,5
LASSO,fs2,AC,LASSO_fs2_AC.pkl,True,3,257,75,"{""alpha"": 0.01, ""max_iter"": 10000, ""selection"": ""random""}",False,0.436488,0.226698,0.110129,0.331856,0.000000,0.767021,0.249325,47.470817,11.633241,0.249644,0.194378,0.060320,0.245601,0.121853,0.775630,0.133769,41.333333,3.523603,0.260293,0.376938,-0.175212,0.603911,group,5,1,0.176194,0.010649,0.176194,0.010649,False,False,True,False,False,High CV instability,5.000000,37.000000,8.000000,12.000000,6,23.000000,23.000000,21.000000,22.600000,22,fs2,False,6,6,0.851064,,,,0.535965,22,19.600000,18,16.666667,10,10.250000,6,15.500000,8,8.000000,8.000000,6.000000,10.000000,4.000000,2.000000,0,0.000000,Unstable selection,7.324000,6.000000,5,19,14,2.544700,0,0.000000,0,0.000000,Unstable selection,16.500000,8,6.800000,7
GBR,fs2,AC,GBR_fs2_AC.pkl,True,3,257,75,"{""subsample"": 0.75, ""n_estimators"": 300, ""min_samples_split"": 8, ""min_samples_leaf"": 4, ""max_depth"": 1, ""loss"": ""huber"", ""learning_rate"": 0.01}",False,0.460231,0.213665,0.105488,0.324790,-0.043150,0.756201,0.265310,54.474708,14.654247,0.395846,0.174308,0.048567,0.220379,0.088591,0.795320,0.222727,44.000000,4.008377,0.232455,0.245519,-0.175758,0.442668,group,5,1,0.227776,-0.163391,0.227776,0.163391,True,False,True,False,False,Overfitting with high CV instability,9.000000,23.000000,17.000000,13.400000,7,4.000000,4.000000,4.000000,4.000000,3,fs2,False,7,7,0.813830,,,,0.740129,3,19.400000,17,16.333333,9,12.300000,8,15.600000,9,8.666667,9.000000,8.000000,9.000000,1.000000,0.577350,0,0.000000,Weight-sensitive,8.151000,8.000000,6,11,5,1.285243,0,0.000000,0,0.000000,Weight-sensitive,16.175000,7,7.300000,8
ET,fs2,AC,ET_fs2_AC.pkl,True,3,257,75,"{""n_estimators"": 400, ""min_samples_split"": 8, ""min_samples_leaf"": 2, ""max_features"": ""sqrt"", ""max_depth"": 5, ""bootstrap"": true}",False,0.455814,0.239214,0.106352,0.326116,0.000050,0.709627,0.262311,42.023346,12.892073,0.315797,0.207953,0.055002,0.234525,0.141381,0.748391,0.172834,30.666667,4.352265,0.182693,0.158729,-0.073556,0.313597,group,5,1,0.273121,-0.133104,0.273121,0.133104,True,False,False,False,False,Possible overfitting,13.000000,3.000000,25.000000,13.400000,7,12.000000,12.000000,33.000000,16.200000,17,fs2,False,7,7,0.813830,,,,0.603105,17,16.200000,11,13.666667,5,13.300000,10,13.600000,5,6.666667,5.000000,5.000000,10.000000,5.000000,2.886751,0,0.000000,Unstable selection,8.230000,9.000000,1,15,14,4.221009,59,0.059000,208,0.208000,Unstable selection,9.675000,5,6.500000,6
RIDGE,fs3,AC,RIDGE_fs3_AC.pkl,True,4,257,75,"{""alpha"": 100.0, ""solver"": ""auto""}",False,0.391766,0.249854,0.118869,0.344773,0.000000,0.690617,0.220106,38.910506,13.315930,0.223801,0.214206,0.062398,0.249795,0.138380,0.720679,0.118979,30.666667,3.966788,0.185108,0.230585,-0.119745,0.438431,group,5,1,0.206658,-0.038693,0.206658,0.038693,True,True,True,False,False,Possible underfitting,12.000000,19.000000,13.000000,13.600000,9,31.000000,31.000000,35.000000,31.800000,32,fs3,False,9,9,0.808511,,,,0.825925,32,15.400000,9,14.666667,6,13.200000,9,14.400000,7,7.333333,7.000000,6.000000,9.000000,3.000000,1.527525,0,0.000000,Unstable selection,8.852000,9.000000,6,11,5,1.535074,0,0.000000,0,0.000000,Unstable selection,17.275000,9,9.000000,9
RIDGE,fs2,AC,RIDGE_fs2_AC.pkl,True,3,257,75,"{""alpha"": 10.0, ""solver"": ""auto""}",False,0.436899,0.225672,0.110048,0.331735,-0.000000,0.769204,0.249599,48.638132,11.716918,0.247849,0.193899,0.060464,0.245895,0.121451,0.777234,0.132733,41.333333,3.504031,0.256482,0.380482,-0.178559,0.605176,group,5,1,0.180416,0.008634,0.180416,0.008634,False,False,True,False,False,High CV instability,7.000000,39.000000,10.000000,14.000000,10,25.000000,25.000000,19.000000,23.800000,25,fs2,False,10,10,0.797872,,,,0.564006,25,21.600000,23,18.666667,14,12.250000,7,17.500000,11,10.666667,11.000000,7.000000,14.000000,7.000000,3.511885,0,0.000000,Unstable selection,9.590000,8.000000,7,23,16,3.511728,0,0.000000,0,0.000000,Unstable selection,18.275000,10,10.000000,10
