model,feature_set,target,file,pipeline_contains_preprocessing,n_features,n_train,n_test,best_params,validation_split_used,r2_train,mae_train,mse_train,rmse_train,bias_train,ioa_train,ios_train,p20_train,ad_stat_train,r2_test,mae_test,mse_test,rmse_test,bias_test,ioa_test,ios_test,p20_test,ad_stat_test,cv_r2_mean,cv_r2_std,cv_r2_min,cv_r2_max,cv_mode,cv_folds,cv_repeats,train_cv_gap,cv_test_gap,abs_train_cv_gap,abs_cv_test_gap,possible_overfitting,possible_underfitting,high_cv_instability,holdout_sensitive,stable_generalization,generalization_diagnosis,rank_cv_r2,rank_cv_stability,rank_train_cv_gap,selection_rank_score,Selection Rank,rank_test_r2,rank_test_rmse,rank_test_mae,test_rank_score,Test Performance Rank
SVR,fs2,AC,SVR_fs2_AC.pkl,True,3,257,75,"{""kernel"": ""rbf"", ""gamma"": 0.1, ""epsilon"": 0.2, ""C"": 0.1}",False,0.43672531301735384,0.22401708811775775,0.11008219481123589,0.33178636923664584,-0.02462485214856827,0.7414014569981928,0.24948371970846217,47.85992217898833,15.960592467890876,0.34059130359159207,0.19218432482759026,0.05300891836241331,0.2302366572950826,0.11479960975415504,0.7704069417729824,0.18796016328728793,30.666666666666664,6.221667988973877,0.2789994379707864,0.24168105017803257,-0.10064707475880619,0.4586863547590757,group,5,1,0.15772587504656743,-0.06159186562080565,0.15772587504656743,0.06159186562080565,False,False,True,False,False,High CV instability,2.0,22.0,4.0,6.4,1,8.0,8.0,18.0,10.0,9
SVR,fs3,AC,SVR_fs3_AC.pkl,True,4,257,75,"{""kernel"": ""rbf"", ""gamma"": 0.1, ""epsilon"": 0.2, ""C"": 0.1}",False,0.45658110098568017,0.22424442872041575,0.1062017280163074,0.3258860660051414,-0.02341652225278081,0.7440623053182425,0.26283048149403265,47.85992217898833,14.513555102376131,0.3184473899931648,0.1920464417940673,0.05478903578360721,0.23407057863731445,0.10952720393675262,0.7483565655934159,0.17443800353526728,34.66666666666667,5.279441130841079,0.2835503075477345,0.25537270409842955,-0.16538465343670627,0.42861625999608066,group,5,1,0.17303079343794564,-0.03489708244543027,0.17303079343794564,0.03489708244543027,False,False,True,False,False,High CV instability,1.0,27.0,7.0,7.4,2,11.0,11.0,17.0,12.200000000000001,11
SVR,fs1,AC,SVR_fs1_AC.pkl,True,2,257,75,"{""kernel"": ""rbf"", ""gamma"": 0.1, ""epsilon"": 0.2, ""C"": 0.1}",False,0.4103021608910479,0.22393966513062355,0.11524613817158177,0.3394792161113575,-0.027700007037279057,0.7345794974647504,0.23208214038938235,49.0272373540856,19.65249300332266,0.3579777903550181,0.17743749777653872,0.051611243654039726,0.22718108119744418,0.09732100992493727,0.7691054817410569,0.19873711576974817,44.0,6.880614594027435,0.2601581937583264,0.2592532079813409,-0.12018788709384354,0.4998503728283338,group,5,1,0.1501439671327215,-0.0978195965966917,0.1501439671327215,0.0978195965966917,False,False,True,False,False,High CV instability,6.0,28.0,3.0,9.799999999999999,3,5.0,5.0,5.0,5.0,5
ANN,fs2,AC,ANN_fs2_AC.pkl,True,3,257,75,"{""solver"": ""adam"", ""max_iter"": 2000, ""learning_rate_init"": 0.003, ""hidden_layer_sizes"": [32], ""early_stopping"": true, ""batch_size"": 16, ""alpha"": 1.0, ""activation"": ""relu""}",False,0.4617678516292102,0.22130329334966467,0.10518806823720932,0.3243271006826431,-0.013143007479983367,0.7775682403421423,0.2663569339448578,49.80544747081712,10.585254446401734,0.3399698007060933,0.18512731096489196,0.05305888008705973,0.23034513254475278,0.11454343078688507,0.8001458651414984,0.1875775733684435,37.333333333333336,3.768776281246403,0.2608646311782065,0.2965720690039895,-0.07994428471273185,0.5484203013660223,group,5,1,0.20090322045100367,-0.07910516952788677,0.20090322045100367,0.07910516952788677,True,False,True,False,False,Overfitting with high CV instability,3.0,29.0,12.0,10.0,4,9.0,9.0,10.0,9.2,7
EN,fs2,AC,EN_fs2_AC.pkl,True,3,257,75,"{""selection"": ""random"", ""max_iter"": 10000, ""l1_ratio"": 0.9, ""alpha"": 0.01}",False,0.4366407740194155,0.226402261513407,0.11009871648113384,0.3318112663565447,0.0,0.767780527531797,0.24942740125915563,47.85992217898833,11.616020110944476,0.24855157380506943,0.19423280695496117,0.06040786009449288,0.24578010516413423,0.12175175646359601,0.7760943310962513,0.1331387503210617,41.333333333333336,3.5119842996990087,0.2604424416283598,0.37982818707196286,-0.1797245138446053,0.6048837213508493,group,5,1,0.1761983323910557,0.011890867823290352,0.1761983323910557,0.011890867823290352,False,False,True,False,False,High CV instability,4.0,38.0,9.0,11.8,5,24.0,24.0,20.0,23.2,23
LASSO,fs2,AC,LASSO_fs2_AC.pkl,True,3,257,75,"{""alpha"": 0.01, ""max_iter"": 10000, ""selection"": ""random""}",False,0.43648750019522464,0.22669825435873392,0.11012867117173855,0.331856401432515,2.764757726692997e-17,0.7670209880642137,0.24932530360696503,47.47081712062256,11.63324051076279,0.2496438347331904,0.1943780511022804,0.060320054806687944,0.2456014145046562,0.12185347526474623,0.7756303840643033,0.13376898851010322,41.333333333333336,3.523603236834205,0.2602931490451012,0.37693808213585456,-0.17521199640616736,0.6039111874368601,group,5,1,0.17619435115012344,0.010649314311910796,0.17619435115012344,0.010649314311910796,False,False,True,False,False,High CV instability,5.0,37.0,8.0,12.0,6,23.0,23.0,21.0,22.599999999999998,22
GBR,fs2,AC,GBR_fs2_AC.pkl,True,3,257,75,"{""subsample"": 0.75, ""n_estimators"": 300, ""min_samples_split"": 8, ""min_samples_leaf"": 4, ""max_depth"": 1, ""loss"": ""huber"", ""learning_rate"": 0.01}",False,0.4602307431744699,0.2136654331659191,0.10548846922498872,0.32478988473317444,-0.043149937210076934,0.7562007193089035,0.2653100947845205,54.474708171206224,14.654246553121823,0.3958460084640564,0.17430831981181905,0.048567071969308394,0.22037938190608575,0.0885913808506291,0.7953198379375944,0.2227265657852806,44.0,4.0083766021065514,0.23245488384032237,0.24551936552598588,-0.17575848120785076,0.4426681981684357,group,5,1,0.2277758593341475,-0.163391124623734,0.2277758593341475,0.163391124623734,True,False,True,False,False,Overfitting with high CV instability,9.0,23.0,17.0,13.4,7,4.0,4.0,4.0,4.0,3
ET,fs2,AC,ET_fs2_AC.pkl,True,3,257,75,"{""n_estimators"": 400, ""min_samples_split"": 8, ""min_samples_leaf"": 2, ""max_features"": ""sqrt"", ""max_depth"": 5, ""bootstrap"": true}",False,0.4558142089937899,0.23921417742466453,0.10635160365531876,0.326115935911324,5.004089174465629e-05,0.7096267789464222,0.2623105050183986,42.023346303501945,12.892073070934373,0.3157968287640438,0.20795308734085996,0.055002110595289755,0.23452528775228004,0.14138129713196096,0.7483911928331515,0.17283425407240405,30.666666666666664,4.352264653852799,0.18269285150946252,0.15872881866228197,-0.07355586236451517,0.31359661097800995,group,5,1,0.27312135748432737,-0.13310397725458128,0.27312135748432737,0.13310397725458128,True,False,False,False,False,Possible overfitting,13.0,3.0,25.0,13.4,7,12.0,12.0,33.0,16.2,17
RIDGE,fs3,AC,RIDGE_fs3_AC.pkl,True,4,257,75,"{""alpha"": 100.0, ""solver"": ""auto""}",False,0.39176606287198623,0.24985435595468486,0.1188686946264174,0.3447733960537231,6.911894316732492e-18,0.6906168706657729,0.22010645782388105,38.91050583657588,13.315930486146499,0.22380121571323752,0.21420581275157738,0.06239750584632541,0.2497949275832586,0.13838032110896528,0.7206788708823704,0.11897855628437592,30.666666666666664,3.9667878864387234,0.18510772402326436,0.23058450157966517,-0.11974461471706888,0.4384314544319975,group,5,1,0.20665833884872187,-0.03869349168997316,0.20665833884872187,0.03869349168997316,True,True,True,False,False,Possible underfitting,12.0,19.0,13.0,13.6,9,31.0,31.0,35.0,31.799999999999997,32
RIDGE,fs2,AC,RIDGE_fs2_AC.pkl,True,3,257,75,"{""alpha"": 10.0, ""solver"": ""auto""}",False,0.43689870139566356,0.22567184515784944,0.11004830908251384,0.3317352997233093,-8.98546261175224e-17,0.7692037012011916,0.2495992413354471,48.63813229571984,11.71691832761121,0.2478487256024936,0.19389895588371533,0.0604643610523881,0.24589502038957214,0.1214506698708602,0.7772342962340331,0.13273344674344412,41.333333333333336,3.5040313027076593,0.2564822863563787,0.38048152551095465,-0.1785590862143227,0.6051760650846116,group,5,1,0.18041641503928485,0.008633560753885106,0.18041641503928485,0.008633560753885106,False,False,True,False,False,High CV instability,7.0,39.0,10.0,14.0,10,25.0,25.0,19.0,23.8,25
